Ref,B0,R1,Hct,fwatere,so2,po2,P50
stefanovic and pike,1.5,0.873,0.512,0.450025113,0.42,22.18308639,25
stefanovic and pike,1.5,0.848,0.512,0.450025113,0.43,22.52186262,25
stefanovic and pike,1.5,0.839,0.512,0.450025113,0.48,24.26974172,25
stefanovic and pike,1.5,0.836,0.512,0.450025113,0.62,29.96979324,25
stefanovic and pike,1.5,0.832,0.512,0.450025113,0.66,31.96176517,25
stefanovic and pike,1.5,0.816,0.512,0.450025113,0.72,35.46961522,25
stefanovic and pike,1.5,0.809,0.512,0.450025113,0.87,50.54856844,25
stefanovic and pike,1.5,0.796,0.512,0.450025113,0.93,65.16411378,25
Rane and Gore,7,0.35,0,0,0.64,30.93764281,25.00
Rane and Gore,7,0.46,0.35,0.289940828,0.64,30.93764281,25.00
Rane and Gore,7,0.48,0.38,0.318181818,0.64,30.93764281,25.00
Rane and Gore,7,0.51,0.48,0.416873449,0.64,30.93764281,25.00
Rane and Gore,7,0.69,0.99,1.061255743,0.64,30.93764281,25.00
Rane and Gore,7,0.35,0,0,0.97,90.58782155,25.00
Rane and Gore,7,0.43,0.35,0.289940828,0.97,90.58782155,25.00
Rane and Gore,7,0.42,0.38,0.318181818,0.97,90.58782155,25.00
Rane and Gore,7,0.46,0.48,0.416873449,0.97,90.58782155,25.00
Rane and Gore,7,0.64,0.99,1.061255743,0.97,90.58782155,25.00
Grgac et al,7,0.43,0.31,0.253208868,0.89,95.44385686,44.00
Grgac et al,7,0.44,0.31,0.253208868,0.74,64.81813304,44.00
Grgac et al,7,0.45,0.31,0.253208868,0.62,52.7468361,44.00
Grgac et al,7,0.46,0.31,0.253208868,0.5,44,44.00
Grgac et al,7,0.48,0.45,0.386503067,0.79,71.87314934,44.00
Grgac et al,7,0.5,0.45,0.386503067,0.75,66.09433728,44.00
Grgac et al,7,0.51,0.45,0.386503067,0.59,50.34964787,44.00
Grgac et al,7,0.52,0.45,0.386503067,0.49,43.35286727,44.00
Grgac et al,7,0.54,0.56,0.501278772,0.79,71.87314934,44.00
Grgac et al,7,0.56,0.56,0.501278772,0.67,57.19579582,44.00
Grgac et al,7,0.57,0.56,0.501278772,0.58,49.58732887,44.00
Grgac et al,7,0.59,0.56,0.501278772,0.42,39.04223204,44.00
Grgac et al,7,0.57,0.63,0.579500657,0.87,88.96548045,44.00
Grgac et al,7,0.58,0.63,0.579500657,0.74,64.81813304,44.00
Grgac et al,7,0.6,0.63,0.579500657,0.62,52.7468361,44.00
Grgac et al,7,0.61,0.63,0.579500657,0.5,44,44.00
Grgac et al,7,0.62,0.75,0.724137931,0.86,86.18699112,44.00
Grgac et al,7,0.65,0.75,0.724137931,0.71,61.30205433,44.00
Grgac et al,7,0.67,0.75,0.724137931,0.61,51.92813927,44.00
Grgac et al,7,0.69,0.75,0.724137931,0.49,43.35286727,44.00
Dobre et al,4.7,0.5456,0.43,0.366626066,0.81,75.2812003,44.00
Dobre et al,7,0.4521,0.43,0.366626066,0.79,71.87314934,44.00
Dobre et al,9,0.4117,0.53,0.469026549,0.8,73.52547831,44.00
Silvennoinen,4.7,0.6,0.41,0.347037485,0.99,241.3108351,44.00
Silvennoinen,4.7,0.58,0.41,0.347037485,0.97,159.4345659,44.00
Silvennoinen,4.7,0.6,0.41,0.347037485,0.94,121.9092343,44.00
Silvennoinen,4.7,0.635,0.41,0.347037485,0.94,121.9092343,44.00
Silvennoinen,4.7,0.595,0.41,0.347037485,0.91,103.6574237,44.00
Silvennoinen,4.7,0.615,0.41,0.347037485,0.9,99.28321409,44.00
Silvennoinen,4.7,0.645,0.41,0.347037485,0.85,83.64941795,44.00
Silvennoinen,4.7,0.64,0.41,0.347037485,0.84,81.31643762,44.00
Silvennoinen,4.7,0.62,0.41,0.347037485,0.82,77.15372152,44.00
Silvennoinen,4.7,0.625,0.41,0.347037485,0.77,68.83499768,44.00
Silvennoinen,4.7,0.66,0.41,0.347037485,0.77,68.83499768,44.00
Silvennoinen,4.7,0.665,0.41,0.347037485,0.74,64.81813304,44.00
Silvennoinen,4.7,0.66,0.41,0.347037485,0.73,63.59713139,44.00
Silvennoinen,4.7,0.665,0.41,0.347037485,0.72,62.42652279,44.00
Silvennoinen,4.7,0.66,0.41,0.347037485,0.71,61.30205433,44.00
Silvennoinen,4.7,0.665,0.41,0.347037485,0.71,61.30205433,44.00
Silvennoinen,4.7,0.645,0.41,0.347037485,0.7,60.2199478,44.00
Silvennoinen,4.7,0.685,0.41,0.347037485,0.7,60.2199478,44.00
Silvennoinen,4.7,0.675,0.41,0.347037485,0.69,59.17683209,44.00
Silvennoinen,4.7,0.7,0.41,0.347037485,0.63,53.58702524,44.00
Silvennoinen,4.7,0.58,0.41,0.347037485,0.873490,90,44.00
Silvennoinen,4.7,0.6,0.41,0.347037485,0.912805,105,44.00
Silvennoinen,4.7,0.64,0.41,0.347037485,0.912805,105,44.00
Silvennoinen,4.7,0.62,0.41,0.347037485,0.979720,185,44.00
Silvennoinen,4.7,0.66,0.41,0.347037485,0.987945,225,44.00
Silvennoinen,4.7,0.68,0.41,0.347037485,0.987945,225,44.00
Silvennoinen,4.7,0.64,0.41,0.347037485,0.992597,270,44.00
Silvennoinen,4.7,0.68,0.41,0.347037485,0.993888,290,44.00
Silvennoinen,4.7,0.7,0.41,0.347037485,0.993888,290,44.00
Silvennoinen,4.7,0.69,0.41,0.347037485,0.995308,320,44.00
Silvennoinen,4.7,0.67,0.41,0.347037485,0.996167,345,44.00
Silvennoinen,4.7,0.75,0.41,0.347037485,0.997244,390,44.00
Silvennoinen,4.7,0.78,0.75,0.724137931,0.94,121.9092343,44.00
Silvennoinen,4.7,0.81,0.75,0.724137931,0.9,99.28321409,44.00
Silvennoinen,4.7,0.79,0.75,0.724137931,0.89,95.44385686,44.00
Silvennoinen,4.7,0.79,0.75,0.724137931,0.88,92.03111551,44.00
Silvennoinen,4.7,0.82,0.75,0.724137931,0.82,77.15372152,44.00
Silvennoinen,4.7,0.81,0.75,0.724137931,0.75,66.09433728,44.00
Silvennoinen,4.7,0.87,0.75,0.724137931,0.74,64.81813304,44.00
Silvennoinen,4.7,0.825,0.75,0.724137931,0.72,62.42652279,44.00
Silvennoinen,4.7,0.84,0.75,0.724137931,0.7,60.2199478,44.00
Silvennoinen,4.7,0.9,0.75,0.724137931,0.68,58.16968691,44.00
Silvennoinen,4.7,0.94,0.75,0.724137931,0.62,52.7468361,44.00
Silvennoinen,4.7,0.87,0.75,0.724137931,0.61,51.92813927,44.00
Silvennoinen,4.7,0.91,0.75,0.724137931,0.47,42.08501507,44.00
Silvennoinen,4.7,0.99,0.75,0.724137931,0.46,41.46308309,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.99,241.3108351,44.00
Silvennoinen,4.7,0.54,0.21,0.16572717,0.92,108.7185693,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.91,103.6574237,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.88,92.03111551,44.00
Silvennoinen,4.7,0.56,0.21,0.16572717,0.86,86.18699112,44.00
Silvennoinen,4.7,0.53,0.21,0.16572717,0.79,71.87314934,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.76,67.43121026,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.72,62.42652279,44.00
Silvennoinen,4.7,0.57,0.21,0.16572717,0.66,56.25270669,44.00
Silvennoinen,4.7,0.59,0.21,0.16572717,0.64,54.45025134,44.00
Silvennoinen,4.7,0.6,0.21,0.16572717,0.46,41.46308309,44.00
Silvennoinen,4.7,0.615,0.21,0.16572717,0.45,40.84837963,44.00
Pilkinton,3,0.613,0.427,0.363669546,0.900041,99.3,44.00
Pilkinton,3,0.61,0.427,0.363669546,0.967318,154.3,44.00
Pilkinton,3,0.624,0.427,0.363669546,0.992357,266.8,44.00
Pilkinton,3,0.642,0.427,0.363669546,0.997221,388.8,44.00
Pilkinton,3,0.66,0.427,0.363669546,0.998598,501.2,44.00
Blockley,1.5,0.68,0.435,0.371568029,0.89,54.22946413,25.00
Blockley,1.5,0.67,0.435,0.371568029,0.85,47.52807838,25.00
Blockley,1.5,0.67,0.435,0.371568029,0.85,47.52807838,25.00
Blockley,1.5,0.64,0.435,0.371568029,0.83,44.97672716,25.00
Blockley,1.5,0.64,0.435,0.371568029,0.82,43.83734178,25.00
Blockley,1.5,0.71,0.435,0.371568029,0.72,35.46961522,25.00
Blockley,1.5,0.68,0.435,0.371568029,0.64,30.93764281,25.00
Blockley,1.5,0.68,0.435,0.371568029,0.56,27.33574278,25.00
Blockley,1.5,0.68,0.435,0.371568029,0.56,27.33574278,25.00
Blockley,1.5,0.78,0.435,0.371568029,0.54,26.5296239,25.00
Blockley,1.5,0.67,0.435,0.371568029,0.52,25.75223121,25.00
Blockley,3,0.6,0.435,0.371568029,0.89,54.22946413,25.00
Blockley,3,0.57,0.435,0.371568029,0.86,48.96988132,25.00
Blockley,3,0.6,0.435,0.371568029,0.85,47.52807838,25.00
Blockley,3,0.54,0.435,0.371568029,0.83,44.97672716,25.00
Blockley,3,0.6,0.435,0.371568029,0.82,43.83734178,25.00
Blockley,3,0.59,0.435,0.371568029,0.72,35.46961522,25.00
Blockley,3,0.64,0.435,0.371568029,0.64,30.93764281,25.00
Blockley,7,0.49,0.435,0.371568029,0.89,54.22946413,25.00
Blockley,7,0.46,0.435,0.371568029,0.86,48.96988132,25.00
Blockley,7,0.51,0.435,0.371568029,0.85,47.52807838,25.00
Blockley,7,0.51,0.435,0.371568029,0.83,44.97672716,25.00
Blockley,7,0.47,0.435,0.371568029,0.82,43.83734178,25.00
Blockley,7,0.52,0.435,0.371568029,0.72,35.46961522,25.00
Blockley,7,0.52,0.435,0.371568029,0.64,30.93764281,25.00
Blockley,7,0.52,0.435,0.371568029,0.56,27.33574278,25.00
Blockley,7,0.53,0.435,0.371568029,0.56,27.33574278,25.00
Blockley,7,0.53,0.435,0.371568029,0.53,26.13756935,25.00
Blockley,7,0.51,0.435,0.371568029,0.52,25.75223121,25.00
Hueckel 2000,1.5,0.7877,0.6,0.525,0.98792,127.735,25
Hueckel 2000,1.5,0.7920,0.6,0.525,0.99295,156.234,25
Hueckel 2000,1.5,0.8348,0.6,0.525,0.99878,299.746,25
Hueckel 2000,1.5,0.8590,0.6,0.525,0.99932,372.010,25
