R1,Y,po2
0.6,0.99,202.920475
0.58,0.97,134.0699759
0.6,0.94,102.5145834
0.635,0.94,102.5145834
0.595,0.91,87.16646997
0.615,0.9,83.48815731
0.645,0.85,70.341556
0.64,0.84,68.37973163
0.62,0.82,64.87926583
0.625,0.77,57.88397532
0.66,0.77,57.88397532
0.665,0.74,54.50615733
0.66,0.73,53.47940594
0.665,0.72,52.49503053
0.66,0.71,51.54945477
0.665,0.71,51.54945477
0.645,0.7,50.63950156
0.685,0.7,50.63950156
0.675,0.69,49.76233607
0.7,0.63,45.06181668
0.81,0.47,35.38967176
0.58,0.917,90
0.6,0.944,105
0.64,0.944,105
0.62,0.987,185
0.66,0.992,225
0.68,0.992,225
0.64,0.995,270
0.68,0.996,290
0.7,0.996,290
0.69,0.997,320
0.67,0.998,345
0.75,0.998,390
